ZONA PORTUARIA,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA,TOTAL_MOVILIZADO,FECHA,PERIODO_NUM,BALANCE_EXP_IMP,TRIMESTRE,AÑO_INCOMPLETO
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL LIQUIDO,0,12762,0,0,0,28755,0,0,2022,5,41517,2022-05-01,52,-12762,2,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,99487,30510,0,0,0,0,0,0,2023,3,129997,2023-03-01,62,68977,1,0
BARRANQUILLA,VOPAK COLOMBIA S.A.,PUBLICO,GRANEL LIQUIDO,2474,10369,0,0,0,0,0,1398,2020,1,14241,2020-01-01,24,-7895,1,0
CARTAGENA,SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA,PUBLICO,CONTENEDORES,85422,123587,280430,0,0,6288,0,0,2023,9,495727,2023-09-01,68,-38165,3,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GENERAL,0,86314,0,0,0,0,0,0,2019,8,86314,2019-08-01,19,-86314,3,0
TURBO,UNIBAN LOGISTICA S.A,PUBLICO,CONTENEDORES,50627,3254,0,0,0,8446,0,0,2024,2,62327,2024-02-01,73,47373,1,0
CARTAGENA,SOCIEDAD PORTUARIA BAVARIA S.A,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,2054,0,0,0,0,0,0,0,2018,9,2054,2018-09-01,8,2054,3,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,422,1553,0,0,0,7198,0,0,2024,3,9173,2024-03-01,74,-1131,1,0
CARTAGENA,SOCIEDAD PORTUARIA MARDIQUE,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,14337,0,0,0,0,0,0,0,2024,9,14337,2024-09-01,80,14337,3,0
BARRANQUILLA,SOCIEDAD PORTUARIA MONOMEROS COLOMBO VENEZOLANOS S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,28343,0,0,0,0,0,0,2021,9,28343,2021-09-01,44,-28343,3,0
CIENAGA,SOCIEDAD PORTUARIA PUERTO NUEVO S.A.,PUBLICO,CARBON AL GRANEL,34918,0,0,0,0,0,0,0,2021,8,34918,2021-08-01,43,34918,3,0
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,111,4,460,0,0,0,0,0,2023,6,575,2023-06-01,65,107,2,0
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,CARBON AL GRANEL,8672,0,0,0,0,0,0,0,2019,4,8672,2019-04-01,15,8672,2,0
G. MORROSQUILLO,OLEODUCTO CENTRAL S.A.,PUBLICO,GRANEL LIQUIDO,1616946,0,0,0,0,0,0,0,2020,7,1616946,2020-07-01,30,1616946,3,0
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,CARBON AL GRANEL,0,77000,0,0,0,0,0,0,2019,3,77000,2019-03-01,14,-77000,1,0
BARRANQUILLA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,13924,0,0,0,0,0,0,0,2020,11,13924,2020-11-01,34,13924,4,0
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3688,0,0,2023,8,3688,2023-08-01,67,0,3,0
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,5350,0,0,0,0,0,0,2020,6,5350,2020-06-01,29,-5350,2,0
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GENERAL,3200,53580,0,0,0,7571,0,0,2021,5,64351,2021-05-01,40,-50380,2,0
CARTAGENA,PUERTO BUENAVISTA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,22045,0,0,0,0,0,0,2022,10,22045,2022-10-01,57,-22045,4,0
BUENAVENTURA,GRUPO PORTUARIO S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,64679,0,0,0,0,0,0,2019,11,64679,2019-11-01,22,-64679,4,0
